date,pipeline,item,model,seed,steps,cfg,sampler,positive_tail,negative,output,status
2026-08-24,env_tile,"red-rock cavern ground, packed martian dust",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,texture-core (DEC-025),contract+tile-addon,art/textures/cavern-ground_v1_{1024,512}.png,keeper-verified
2026-08-24,env_tile,"dusty main-street dirt with wagon ruts",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,texture-core (DEC-025),contract+tile-addon,art/textures/street-dirt_v1_{1024,512}.png,keeper-verified
2026-08-25,env_tile,"weathered wooden planking, saloon porch boards",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,texture-core (DEC-025),contract+tile-addon,art/textures/saloon-planking_v1_{1024,512}.png,keeper-verified
2026-08-25,env_tile,"rusted metal colony floor plate, hex-riveted",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,texture-core (DEC-025),contract+tile-addon,art/textures/metal-floor-plate_v1_{1024,512}.png,keeper-verified
2026-08-25,env_tile,"red sandstone cavern wall, rough-hewn",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,texture-core (DEC-025),contract+tile-addon,art/textures/sandstone-wall_v1_{1024,512}.png,keeper-verified
2026-08-25,env_tile,"corrugated metal sheeting and weathered timber wall, colony building",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,texture-core (DEC-025),contract+tile-addon,art/textures/colony-wall_v1_{1024,512}.png,keeper-verified
2026-08-25,env_tile,"cracked dry martian soil with pale frost veins",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,texture-core (DEC-025),contract+tile-addon,art/textures/cracked-soil_v1_{1024,512}.png,keeper-verified
2026-08-25,env_tile,"gravel and scrap metal debris border ground, entry tunnel mouth",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,texture-core (DEC-025),contract+tile-addon,art/textures/gravel-border_v1_{1024,512}.png,keeper-verified
2026-08-25,characters,"lean human gunslinger hero, long charcoal duster coat with brass buckles, twin revolvers in low-slung holsters, wide low-brimmed hat, weathered western frontier outfit",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/gunslinger-canon_v1.png,keeper
2026-08-25,characters,"lean human gunslinger hero, long charcoal duster coat with brass buckles, twin revolvers in low-slung holsters, wide low-brimmed hat, weathered western frontier outfit",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/gunslinger-portrait_v1_512.png,keeper
